"","term","estimate","std.error","robust.se","statistic","p.value"
"26","frule82",-0.093026315647911,0.373378407035001,0.307228998144612,-0.302791455916292,0.762048795147098
"27","frule83",-0.333842708634138,0.279229209434879,0.232394995856219,-1.43653139950003,0.150851188172743
"28","frule91",-0.564336907146849,0.342838236050132,0.272391709514318,-2.07178444657173,0.0382855478083798
"29","frule92",-0.623427404115102,0.328221569670073,0.264557264701341,-2.35649323339841,0.0184484037521372
"30","frule93",-0.305050285614517,0.293588276402319,0.244325066243192,-1.24854273163639,0.211832369756223
"31","frule101",-0.287870857807694,0.278571095158676,0.214347067197067,-1.34301281362078,0.179267824775548
"32","frule102",-0.46360874377995,0.342923905449577,0.283566602487197,-1.63492012004793,0.102065794073514
"33","frule103",-0.0799026313024141,0.259779312252634,0.225656418287907,-0.354089779092696,0.723271601630005
"34","statquo",-0.638138156634155,0.729304820296697,0.651724916517643,-0.979152615560433,0.327504577376705
"35","tasknum5",NA,0,0,NA,NA
"36","avcost:ffcomheart",0.000290374450850043,0.000910250226557689,0.000801636922632159,0.362226891816066,0.717182485353667
"37","avcost:ffcomresp",0.00115614321202371,0.00097443368167403,0.000823117114882361,1.40459138939049,0.160142818564137
"38","avcost:ffcomcanc",-0.00153731226428947,0.00114279181940676,0.000860667657713513,-1.78618570189283,0.0740691953679885
"39","avcost:larule4",0.00115001866497987,0.000639303405934497,0.000568081431749612,2.02439051992594,0.0429299864067485
"40","avcost:larule10",-0.000285658323780761,0.000647149959222276,0.000558116743799836,-0.511825396665057,0.608773214337148
"41","avcost:owncomother",-0.000465322583213347,0.00123903093257399,0.000873790987515387,-0.532533054084806,0.594356854866749
"42","avcost:wrongdaycare",-0.000131185659336397,0.000629526488053213,0.000586601847372779,-0.223636628360343,0.823040060110349
"43","avcost:pzipifinan",0.0163568681713653,0.0114510832860339,0.0101100788544802,1.61787740796077,0.105689019953904
"44","avcost:reject",-0.0444562936073471,7.81425748275684,0.00531420857107314,-8.36555302878707,5.98336122774776e-17
"45","avcost:gendermale",-0.000919161630248252,0.000582469611303493,0.000505239178278972,-1.81926040133952,0.0688717116465171
"46","avcost:income40",0.00210968252444174,0.000896547919496771,0.000802826350853245,2.62781923164277,0.00859341680930117
"47","avcost:income225",-0.00159720831053103,0.000839852867299782,0.000819461391587368,-1.94909525564969,0.0512840501566252
"48","avcost:employmentMISSING",-0.00238690746890923,0.00193631156683863,0.00194239462082023,-1.22884785785769,0.219128854238808
"49","avcost:ideologymliberal",0.00291271273659871,0.000793624824295943,0.000749393883868606,3.88675808449673,0.000101591907498521
"50","avcost:ideologysliberal",0.00270243886870674,0.00105111616369557,0.00097307978296398,2.77720174236399,0.005482913542536
"51","avcost:tasknum3",0.00136648653833105,0.000755681666056995,0.000688352845024808,1.98515419556638,0.0471273186401343
"52","avcost:tasknum5",0.000970366925812399,0.00103857683610348,0.000794881426006776,1.22076940542844,0.222173340704203
"53","avcost:tasknumMISSING",-0.00169143354195204,0.00245539377504778,0.00158291536752102,-1.06855589165261,0.285269832812439
